"Year","Location","Total","Error_Total","Utility Gas","Error_Utility Gas","Bottled/tank/LP Gas","Error_B/T/LP Gas","Electricity","Error_Electricity","Fuel oil/kerosene/etc.","Error_Fuel_oil/kerosene/etc.","Coke/Coal","Error_Coke/Coal","Wood","Error_Wood","Solar","Error_Solar","Other fuel","Error_Other fuel","No fuel","Error_No fuel"
2010-01-01,"Texas",8738664,20291,3315579,23789,326201,9460,4989013,26256,10062,1357,311,254,41677,3378,332,220,17206,2520,38283,3455
2010-01-01,"Dallas",447680,6310,154005,5370,2341,695,289648,7014,273,292,0,294,160,156,44,72,143,139,1066,407
2010-01-01,"Houston",762309,6535,294865,6512,4283,880,457360,7992,162,163,85,141,128,154,0,294,863,510,4563,1322
2011-01-01,"Texas",8850370,21114,3298684,23006,306275,9945,5144371,27283,10754,1578,971,576,37767,2838,1900,632,15650,2373,33998,3210
2011-01-01,"Austin",331582,5920,155022,5025,4070,966,170927,6098,126,202,0,218,432,297,126,155,314,266,565,336
2011-01-01,"Dallas",455371,6913,150745,4654,2182,672,300655,6247,420,344,46,74,93,93,36,60,56,69,1138,520
2011-01-01,"Houston",774630,7511,283243,7587,2888,767,483288,8089,505,289,169,222,128,151,0,218,921,548,3488,845
2012-01-01,"Texas",8970959,21541,3323361,20041,303869,8201,5240726,22189,11720,2326,368,255,39054,2969,978,491,12505,1789,38378,3050
2012-01-01,"Austin",330838,4711,157508,4621,4628,1083,166829,4982,471,546,0,206,528,508,156,154,125,150,593,335
2012-01-01,"Dallas",463719,5838,156749,4992,2850,793,301495,5553,689,549,0,206,91,108,0,206,109,133,1736,620
2012-01-01,"Houston",780364,9306,286279,8229,3277,776,484878,9558,211,177,0,206,936,535,120,147,271,154,4392,987
2013-01-01,"Texas",9110853,20640,3320609,25152,293618,7693,5387263,27180,9731,1862,193,171,39408,3475,1829,509,13553,1789,44649,3243
2013-01-01,"Austin",349200,5054,165715,5262,4603,1149,176395,6270,254,283,29,50,236,202,141,123,184,178,1643,677
2013-01-01,"Dallas",476733,6946,158173,5434,2280,662,313551,6595,170,203,40,66,174,206,178,197,422,282,1745,466
2013-01-01,"Houston",815266,7582,291344,8755,4406,947,511257,8516,982,702,0,213,333,362,181,213,374,236,6389,1227
2014-01-01,"Texas",9277197,22719,3418610,20315,293663,7680,5460578,24885,10582,1677,1089,556,34848,2411,1799,501,15797,2223,40231,3014
2014-01-01,"Austin",360996,4783,175721,4779,4494,943,178587,5344,456,427,0,211,283,223,86,101,222,215,1147,412
2014-01-01,"Dallas",484335,6075,161261,5011,2462,549,317259,6073,229,251,163,212,317,230,82,95,737,499,1825,603
2014-01-01,"Houston",834204,9001,298361,6630,3891,784,526611,9599,320,226,43,72,356,336,288,253,557,336,3777,767
2015-01-01,"Texas",9421412,21122,3390924,26604,293458,7956,5637227,26197,9351,1506,620,344,35322,2753,2021,623,12897,1642,39592,2912
2015-01-01,"Austin",364893,4984,162552,5840,5138,1200,195025,5296,154,165,76,125,330,240,376,270,114,114,1128,452
2015-01-01,"Dallas",495362,5725,162680,4531,3199,858,326179,6668,629,541,0,214,182,155,199,186,259,210,2035,635
2015-01-01,"Houston",849974,7977,285657,7524,5562,1147,553271,9857,731,462,0,214,360,302,0,214,452,275,3941,849
2016-01-01,"Texas",9535612,20125,3407001,22035,273637,8147,5754927,23434,8943,1765,1272,681,32735,3129,4028,1021,14285,1751,38784,2857
2016-01-01,"Houston",867915,8198,295989,7545,4827,927,559459,8218,975,621,0,220,140,166,251,259,533,418,5741,1352
2016-01-01,"Austin",372327,5397,152943,4713,5032,1126,210960,5943,184,142,370,435,320,247,858,616,152,133,1508,548
2016-01-01,"Dallas",514588,5379,168629,4767,2748,692,340535,5808,260,298,90,150,95,123,78,91,321,220,1832,533
2017-01-01,"Texas",9623874,22217,3422516,26520,281245,9102,5824591,32137,9195,1479,642,333,28835,2627,5484,1011,12979,1749,38387,3000
2017-01-01,"Austin",376509,6217,155284,5376,6056,1490,212068,6769,490,427,112,132,239,246,419,289,731,518,1110,553
2017-01-01,"Dallas",513084,5613,164291,5237,3247,688,343031,7048,496,368,0,225,182,240,326,279,428,238,1083,350
2017-01-01,"Houston",837686,10337,286146,8532,4889,1143,541120,9959,410,292,51,85,95,112,239,171,332,259,4404,976
2018-01-01,"Texas",9776083,21679,3472727,23945,276111,8115,5927999,27333,8778,1654,1349,570,27474,2266,7922,1525,13405,2022,40318,2813
2018-01-01,"Austin",390395,6082,167564,5977,5516,1333,214123,6162,220,274,91,150,447,383,444,297,400,298,1590,618
2018-01-01,"Dallas",521198,6967,166411,4068,2293,718,348624,6418,342,415,0,228,155,152,363,234,312,251,2698,686
2018-01-01,"Houston",849105,8526,284620,7915,3383,926,555341,10061,478,320,37,61,431,505,402,359,834,461,3579,953
2019-01-01,"Texas",9985126,25440,3499082,29724,283573,10556,6101773,32107,6632,1336,1333,697,28184,2880,11312,2353,9955,1512,43282,3854
2019-01-01,"Austin",409903,5829,181445,5993,5627,1458,218888,7286,315,348,243,372,145,179,836,399,246,256,2158,825
2019-01-01,"Dallas",518998,7150,167738,5596,2294,641,344758,6627,571,456,0,234,147,188,648,395,658,471,2184,716
2019-01-01,"Houston",876504,9872,280019,8016,4062,866,586158,10944,155,215,87,144,50,83,320,314,231,214,5422,1599
