YEAR,LOCATION,ESTIMATE,ERROR,FUEL_TYPE
2010-01-01,Texas,8738664,20291,Total
2010-01-01,Texas,3315579,23789,Utility Gas
2010-01-01,Texas,326201,9460,Bottled/tank/LP Gas
2010-01-01,Texas,4989013,26256,Electricity
2010-01-01,Texas,10062,1357,Fuel oil/kerosene/etc.
2010-01-01,Texas,311,254,Coke/Coal
2010-01-01,Texas,41677,3378,Wood
2010-01-01,Texas,332,220,Solar
2010-01-01,Texas,17206,2520,Other fuel
2010-01-01,Texas,38283,3455,No fuel
2010-01-01,Dallas,447680,6310,Total
2010-01-01,Dallas,154005,5370,Utility Gas
2010-01-01,Dallas,2341,695,Bottled/tank/LP Gas
2010-01-01,Dallas,289648,7014,Electricity
2010-01-01,Dallas,273,292,Fuel oil/kerosene/etc.
2010-01-01,Dallas,0,294,Coke/Coal
2010-01-01,Dallas,160,156,Wood
2010-01-01,Dallas,44,72,Solar
2010-01-01,Dallas,143,139,Other fuel
2010-01-01,Dallas,1066,407,No fuel
2010-01-01,Houston,762309,6535,Total
2010-01-01,Houston,294865,6512,Utility Gas
2010-01-01,Houston,4283,880,Bottled/tank/LP Gas
2010-01-01,Houston,457360,7992,Electricity
2010-01-01,Houston,162,163,Fuel oil/kerosene/etc.
2010-01-01,Houston,85,141,Coke/Coal
2010-01-01,Houston,128,154,Wood
2010-01-01,Houston,0,294,Solar
2010-01-01,Houston,863,510,Other fuel
2010-01-01,Houston,4563,1322,No fuel
2011-01-01,Texas,8850370,21114,Total
2011-01-01,Texas,3298684,23006,Utility Gas
2011-01-01,Texas,306275,9945,Bottled/tank/LP Gas
2011-01-01,Texas,5144371,27283,Electricity
2011-01-01,Texas,10754,1578,Fuel oil/kerosene/etc.
2011-01-01,Texas,971,576,Coke/Coal
2011-01-01,Texas,37767,2838,Wood
2011-01-01,Texas,1900,632,Solar
2011-01-01,Texas,15650,2373,Other fuel
2011-01-01,Texas,33998,3210,No fuel
2011-01-01,Dallas,455371,6913,Total
2011-01-01,Dallas,150745,4654,Utility Gas
2011-01-01,Dallas,2182,672,Bottled/tank/LP Gas
2011-01-01,Dallas,300655,6247,Electricity
2011-01-01,Dallas,420,344,Fuel oil/kerosene/etc.
2011-01-01,Dallas,46,74,Coke/Coal
2011-01-01,Dallas,93,93,Wood
2011-01-01,Dallas,36,60,Solar
2011-01-01,Dallas,56,69,Other fuel
2011-01-01,Dallas,1138,520,No fuel
2011-01-01,Houston,774630,7511,Total
2011-01-01,Houston,283243,7587,Utility Gas
2011-01-01,Houston,2888,767,Bottled/tank/LP Gas
2011-01-01,Houston,483288,8089,Electricity
2011-01-01,Houston,505,289,Fuel oil/kerosene/etc.
2011-01-01,Houston,169,222,Coke/Coal
2011-01-01,Houston,128,151,Wood
2011-01-01,Houston,0,218,Solar
2011-01-01,Houston,921,548,Other fuel
2011-01-01,Houston,3488,845,No fuel
2012-01-01,Texas,8970959,21541,Total
2012-01-01,Texas,3323361,20041,Utility Gas
2012-01-01,Texas,303869,8201,Bottled/tank/LP Gas
2012-01-01,Texas,5240726,22189,Electricity
2012-01-01,Texas,11720,2326,Fuel oil/kerosene/etc.
2012-01-01,Texas,368,255,Coke/Coal
2012-01-01,Texas,39054,2969,Wood
2012-01-01,Texas,978,491,Solar
2012-01-01,Texas,12505,1789,Other fuel
2012-01-01,Texas,38378,3050,No fuel
2012-01-01,Dallas,463719,5838,Total
2012-01-01,Dallas,156749,4992,Utility Gas
2012-01-01,Dallas,2850,793,Bottled/tank/LP Gas
2012-01-01,Dallas,301495,5553,Electricity
2012-01-01,Dallas,689,549,Fuel oil/kerosene/etc.
2012-01-01,Dallas,0,206,Coke/Coal
2012-01-01,Dallas,91,108,Wood
2012-01-01,Dallas,0,206,Solar
2012-01-01,Dallas,109,133,Other fuel
2012-01-01,Dallas,1736,620,No fuel
2012-01-01,Houston,780364,9306,Total
2012-01-01,Houston,286279,8229,Utility Gas
2012-01-01,Houston,3277,776,Bottled/tank/LP Gas
2012-01-01,Houston,484878,9558,Electricity
2012-01-01,Houston,211,177,Fuel oil/kerosene/etc.
2012-01-01,Houston,0,206,Coke/Coal
2012-01-01,Houston,936,535,Wood
2012-01-01,Houston,120,147,Solar
2012-01-01,Houston,271,154,Other fuel
2012-01-01,Houston,4392,987,No fuel
2013-01-01,Texas,9110853,20640,Total
2013-01-01,Texas,3320609,25152,Utility Gas
2013-01-01,Texas,293618,7693,Bottled/tank/LP Gas
2013-01-01,Texas,5387263,27180,Electricity
2013-01-01,Texas,9731,1862,Fuel oil/kerosene/etc.
2013-01-01,Texas,193,171,Coke/Coal
2013-01-01,Texas,39408,3475,Wood
2013-01-01,Texas,1829,509,Solar
2013-01-01,Texas,13553,1789,Other fuel
2013-01-01,Texas,44649,3243,No fuel
2013-01-01,Dallas,476733,6946,Total
2013-01-01,Dallas,158173,5434,Utility Gas
2013-01-01,Dallas,2280,662,Bottled/tank/LP Gas
2013-01-01,Dallas,313551,6595,Electricity
2013-01-01,Dallas,170,203,Fuel oil/kerosene/etc.
2013-01-01,Dallas,40,66,Coke/Coal
2013-01-01,Dallas,174,206,Wood
2013-01-01,Dallas,178,197,Solar
2013-01-01,Dallas,422,282,Other fuel
2013-01-01,Dallas,1745,466,No fuel
2013-01-01,Houston,815266,7582,Total
2013-01-01,Houston,291344,8755,Utility Gas
2013-01-01,Houston,4406,947,Bottled/tank/LP Gas
2013-01-01,Houston,511257,8516,Electricity
2013-01-01,Houston,982,702,Fuel oil/kerosene/etc.
2013-01-01,Houston,0,213,Coke/Coal
2013-01-01,Houston,333,362,Wood
2013-01-01,Houston,181,213,Solar
2013-01-01,Houston,374,236,Other fuel
2013-01-01,Houston,6389,1227,No fuel
2014-01-01,Texas,9277197,22719,Total
2014-01-01,Texas,3418610,20315,Utility Gas
2014-01-01,Texas,293663,7680,Bottled/tank/LP Gas
2014-01-01,Texas,5460578,24885,Electricity
